en,vi
"And I think you &apos;d have to be really authentic , you &apos;d have to be really true to yourself in order to get through what you &apos;re being exposed to .","Và tôi nghĩ bạn phải xác thực , sống rất thật với bản thân để có thể trải qua những gì đang diễn ra"
"And his clinician said to me , &quot; If you want to know more about psychopaths , you can go on a psychopath spotting course run by Robert Hare who invented the psychopath checklist . &quot;","Và bác sỹ của anh ta bảo tôi , &quot; Nếu anh muốn biết thêm về các bệnh nhân tâm thần , anh có thể theo một khoá tìm kiếm kẻ tâm thần của Robert Hare người phát minh ra danh sách dấu hiệu tâm thần . &quot;"
You have to believe that they were wrong .,Bạn phải tin rằng họ đã sai .
This emerging economy really is helping the revival of the world economy .,Những nền kinh tế mới nổi này đang vực lại kinh tế thế giới .
The world population has doubled since I went to school .,Dân số thế giới đã tăng lên gấp đôi kể từ khi tôi còn học ở trường .
"If all the people who were talking over this period worked on a car together , it would be a joy , absolute joy .","Nếu tất cả những người diễn thuyết trong thời gian này cùng làm 1 chiếc xe , thì sẽ cực kỳ vui ."
"It can undergo complex reactions , some of which are happily architectural .",Và có thể cho ra những phản ứng phức tạp. đáng mừng là một vài trong số đó có liên quan về mặt kiến trúc .
"It &apos;s not something that is a bad thing and is vilified , which is what happens in a lot of society .","Nó không phải điều xấu xa , nhục nhã theo định kiến của nhiều người trong xã hội ."
It &apos;s an election .,Đó là bầu cử .
Give it to them and measure what the media know . &quot;,bố đưa cho họ và đo xem giới truyền thông biết gì &apos; &apos;
And that would be that .,Và thế đấy .
"But if you &apos;re losing 50 percent to 80 percent of your colonies , you can &apos;t survive three years in a row . And we &apos;re really worried about losing this segment of our industry .","Nhưng ta đang mất 50-80 % các tổ ong , nên không thể làm trong 3 năm được . Và chúng tôi thực sự lo âu việc có thể mất ngành công nghiệp này ."
It will bring skills and learning and reading .,Nó sẽ mang lại kĩ năng và việc học và việc đọc .
"I wanted to close with one story , which we think could potentially be a clinical application .","Tôi muốn kết thúc bằng một câu chuyện , mà chúng tôi nghĩ rằng có thể có khả năng là một ứng dụng lâm sàng ."
"But how do you find if this person , if it &apos;s true , if it &apos;s faked , or if it &apos;s something that &apos;s old and that &apos;s been reposted ?",Nhưng mà làm sao bạn biết được người này đăng tin thật hay giả ? Hay là nó có thật nhưng đã xảy ra từ lâu và được đăng lại mới đây thôi ?
"Stewart Brand : Well , the earlier point is we interfered in a big way by making these animals go extinct , and many of them were keystone species , and we changed the whole ecosystem they were in by letting them go .","Steward Brand : Vâng , trước tiên là chúng ta đã can thiệp mạnh vào tự nhiên bằng cách khiến các loài động vật bị tuyệt chủng , và nhiều trong số đó là những loài có vai trò quan trọng , và chúng ta đã thay đổi toàn bộ hệ sinh thái chúng ta sống bằng cách để chúng biến mất ."
"So that engineers use this time to come up with a cool patch for code , come up with an elegant hack .","Từ đó các kỹ sư có thể sử dụng khoảng thời gian này để nghĩ ra một cách thức lập trình hay , một phương pháp hack điệu nghệ ."
Bigger objects have bigger Schwarzschild radii .,Vật thể càng lớn thì bán kính hấp dẫn càng lớn .
And we don &apos;t know yet what the implications will be of understanding it .,Và chúng tôi vẫn chưa biết hệ quả của việc thấu hiểu đó sẽ là gì .
"And zapped horribly , pathetically .","Bị giết một cách man rợ , đáng thương ."
"And he came out to the hallway and he said , &quot; Let me see the paper . &quot;",Thầy tôi đi tận đến chỗ tôi và nói : &quot; Đưa thầy xem tờ giấy &quot;
"And it goes around and around and around , the same way that military-industrial complex worked a long time ago .","Và nó sẽ đi một vòng tuần hoàn như vậy , hệt như cách mà quân đội và các ngành công nghiệp phức tạp làm việc một thời gian dài trước đây ."
"In countries where girls don &apos;t go to school and you offer a meal to girls in school , we see enrollment rates about 50 percent girls and boys .","Ở những quốc gia mà các bé gái không đến trường khi bạn tặng các em một bữa ăn ở trường , thì tỷ lệ các em gái nhập học sẽ đạt được mức 50 % ."
And so I was thinking about how it might be great if I could just take all these noises -- like all these sounds of my thoughts in my head -- if I could just physically extricate them and pull them out in such a form that I could share them with somebody else .,Nên tôi nghĩ rằng sẽ thật tuyệt vời như thế nào nếu tôi có thể đưa những âm thanh ồn ã này -- giống như tất cả những âm thanh của những dòng suy nghĩ trong đầu tôi -- nếu tôi có thể phân tách chúng ra thành một dạng thức cụ thể để mà tôi có thể chia sẻ với một ai đó .
"And this is the sofa , how it will emerge from there .","Đây là ghế sofa , và bằng cách nào nó xuất hiện từ đó ."
"We &apos;ve seen lots of excitement from these people , who can now start a construction business , parts manufacturing , organic CSA or just selling power back to the grid .","Chúng tôi nhận được nhiều sự khích lệ từ những người này , những người mà giờ đây có thể bắt đầu một công ty xây dựng , một khâu sản xuất , một quy trình CSA hữu cơ hay chỉ là bán điện lại cho mạng lưới ."
"Several long-term studies have shown that girls who diet in their early teenage years are three times more likely to become overweight five years later , even if they started at a normal weight , and all of these studies found that the same factors that predicted weight gain also predicted the development of eating disorders .","Vài nghiên cứu lâu năm đã cho thấy những cô gái ăn kiêng sớm thời thiếu niên có khả năng bị thừa cân cao gấp 3 lần sau năm năm , kể cả cân nặng của họ đều bắt đầu ở mức bình thường , và tất cả các nghiên cứu đó đều cho thấy rằng cùng những nhân tố để dự đoán sự tăng cân cũng là những nhân tố dự đoán sự gia tăng của chứng rối loạn ăn uống ,"
"I used to teach people how to write computer programs in New Delhi , 14 years ago .","Tôi đã từng làm giáo viên dạy cách viết chương trình máy vi tính ở New Delhi , 14 năm trước ."
"Even people took off their jewelry , their little crosses and religious things , and put them in these floating balls that we sent down the rivers so that they could be picked up at night .","Thậm chí , có người tháo cả đồ trang sức , những cây thánh giá nhỏ , vật làm tin , chúng tôi bỏ chúng vào những quả bóng nổi rồi thả trên sông để người ta có thể nhặt được vào ban đêm ."
"Rives : My roommates would have the TV on , and this would happen .","Bạn cùng phòng của tôi để TV bật suốt , và nó xuất hiện ."
"So there &apos;s a useful stereotype about students that I see , a useful stereotype about you all .","Vì thế theo tôi thấy , có một loại sinh viên điển hình mà tôi thấy , một điển hình cho tất cả chúng ta ."
"Videos on the web should work like the web itself : Dynamic , full of links , maps and information that can be edited and updated live , says Mozilla Foundation COO Ryan Merkley . On the TED stage he demos Popcorn Maker , a new web-based tool for easy video remixing .","Video trên web nên hoạt động giống như bản thân các trang web : linh động , đầy đủ các liên kết , bản đồ và các thông tin có thể được chỉnh sửa và cập nhật trực tiếp , Ryan Merkley , COO của Mozilla Foundation nói . Trên sân khấu TED , anh trình diễn Popcorn Maker , một công cụ trên nền web mới cho phép remix video một cách dễ dàng ."
Yves Rossy has landed in England .,Yves Rossy đã hạ cánh xuống nước Anh .
"And today , they crawl out and see condominiums .","Và ngày nay , chúng bò lên bờ và thấy các chung cư cao tầng ."
"What &apos;s ended up happening over the past few decades is the kind of coverage that you had as a head of state or as a great celebrity is now being applied to you every day by all these people who are Tweeting , blogging , following you , watching your credit scores and what you do to yourself .","Những gì đã ngừng xảy ra trong vài thập kỷ qua là thứ thông tin mà bạn nhận , như thể một người đứng đầu nhà nước hoặc như là một người tiếng tăm lừng lẫy bây giờ được áp dụng với bạn mỗi ngày , bởi tất cả những người đang Tweet , viết blog , theo dõi bạn , xem điểm tích luỹ của bạn và những gì bạn đang làm cho chính mình ."
So I would never win the race because I &apos;m always stopping .,Và tôi có thể không bao giờ thắng cuộc bởi tôi luôn dừng lại .
"I know many in the room probably know exactly who he is , but to give the shorthand version for any who have not heard him speak , Dr. Yunus won the Nobel Peace Prize a few years ago for his work pioneering modern microfinance .","Tôi biết là rất nhiều người ở đây có thể biết ông là ai , tôi sẽ kể ngắn gọn lại cho những ai chưa từng nghe tới ông ấy , Tiến sĩ Yunus được giải Nobel Hoà Bình vài năm trước vì nghiên cứu tiên phong về tài chính vi mô hiện đại ."
"The strategies that I have discussed this evening -- embracing dissent , taking experts on , democratizing expertise , rebellious strategies -- are strategies that I think would serve us all well to embrace as we try to deal with the challenges of these very confusing , complex , difficult times .","Các chiến lược mà tôi đã thảo luận trong buổi tối hôm nay .. việc ủng hộ cho những ý kiến đối lập , việc loại bỏ các chuyên gia , dân chủ hoá việc đưa ý kiến chuyên môn , những chiến lược chống đối là những chiến lược mà tôi nghĩ là sẽ phục vụ và ủng hộ cho chúng ta khi chúng ta cố gắng giải quyết các thách thức những thời kì rối bời , phức tạp , và khó khăn này ."
"And if you compare light energy to musical scales , it would only be one octave that the naked eye could see , which is right in the middle ?",Và nếu bạn so sánh năng lượng ánh sáng với khoảng âm ... ... thì nó chỉ tương đương với một quãng tám mà một đôi mắt trần có thể thấy được . ... có nghĩa là rơi đúng vào khoảng giữa .
"Google trawls all these countless billions of websites , all of which are in English , and when you want to use Google , you go into Google search , and you type in English , and it matches the English with the English .","Google tìm kiếm hàng tỉ website , tất cả đều bằng tiếng Anh , khi muốn dùng Google , bạn vào trang tìm kiếm và gõ tiếng Anh , Google sẽ cho ra kết quả bằng tiếng Anh ."
"In those days , I was living in a fool &apos;s paradise .","Những ngày đó , tôi sống trên một thiên đường ngu ngốc"
Have sex .,làm &quot; chuyện ấy &quot;
"Now it &apos;s : I want to have a feeling , I need to send a text .",Giờ nó là : tôi muốn có một cảm xúc. tôi cần phải gửi một tin nhắn .
"What that says basically is that the general tendency of the universe is to move from order and structure to lack of order , lack of structure -- in fact , to mush .",Điều đó nói một cách cơ bản rằng khuynh hướng chung của vũ trụ là chuyển động từ trật tự và cấu trúc đến cấu trúc của cấu trúc và trật tự thực tế đối với chất bột đặc này
"In fact , capitalism , perhaps at its most remorseless , is a physical manifestation of psychopathy .",Thực tế cho thấy rằng chủ nghĩa tư bản khi không thương tiếc ai nhất thì là một biểu hiện vật lý của chứng tâm thần .
"But , like all of us , he had some problems .","Nhưng cũng giống như tất cả chúng ta , ông gặp một số vấn đề ."
"Now , Evan is new to this system , so what we have to do first is create a new profile for him .","Bây giờ , anh Evan chưa quen với hệ thống này , nên việc đầu tiên chúng ta phải làm là tạo một tiểu sử mới cho anh ấy ."
You don &apos;t chant an &quot; om . &quot;,Bạn không tụng một câu kinh .
"So I &apos;m going to talk about work , specifically why people can &apos;t seem to get work done at work , which is a problem we all kind of have .",Tôi xin được nói về công việc mà đặc biệt là tại sao mọi người có vẻ như không giải quyết công việc trong giờ làm việc đó là vấn đề mà tất cả chúng ta đều gặp phải .
This is crap .,Cái này là rác rưởi .
And it was difficult . It was awfully hard .,"Và điều đó thực sự khó khăn , rất gian nan ."
"Now , we &apos;ve all heard of distance education , but the students way in the back , 200 feet away from the instructor , I think they are undergoing long-distance education .","Chúng ta đã nghe nói nhiều về giáo dục từ xa , nhưng cách học mà sinh viên cách người dạy khoảng 60m , tôi e rằng , chính họ đang trải nghiệm giáo dục từ xa , rất xa ."
What did they find ?,Họ đã tìm ra gì ?
"In my team , the lives of one or two of my colleagues were tainted by this experience .",Trong nhóm của tôi một hay hai đống nghiệp của tôi bị những sự kiện này ám ảnh đến suốt cuộc đời .
"Even though I &apos;d never mentioned her name , she sued me for defamation and invasion of privacy .","Thậm chí tôi đã chưa từng nhắc đến tên của cô , nhưng cô ta kiện tôi phỉ báng và xâm phạm riêng tư cá nhân ."
And that &apos;s something that in painting I &apos;ve never seen done .,Và đó là một điểm trong hội hoạ tôi chưa từng bắt gặp .
How did this come about ?,Tại sao lại có việc này ?
This is a construction of a man named &#91; Gaston &#93; Julia and &#91; Pierre &#93; Fatou .,Đó là một công trình của một người tên là &#91; Gaston &#93; Julia và &#91; Pierre &#93; Fatou .
Because it &apos;s a problem we have .,Và đó thực sự là một vấn đề của chúng ta .
"We showed a few months ago -- we published the first study showing you can actually stop or reverse the progression of prostate cancer by making changes in diet and lifestyle , and 70 percent regression in the tumor growth , or inhibition of the tumor growth , compared to only nine percent in the control group .","Cách đây vài tháng , chúng tôi đã công bố -- chúng tôi đã xuất bản nghiên cứu đầu tiên cho thấy chúng ta có thể ngăn chặn hoặc đảo ngược tiến trình bệnh ung thư tuyến tiền liệt bằng cách thay đổi khẩu phần ăn và lối sống , thì sẽ đẩy lui 70 % sự phát triển của khối u , hoặc kìm hãm khối u so với chỉ có 9 % trong nhóm kiểm soát ."
Just one example . One person I worked with was a bagger at Genuardi &apos;s .,Ví dụ : một người tôi đã làm việc cùng làm nghề đóng gói hàng hoá ở Genuardi .
"And News , which I just mentioned , was started by a researcher .",Và Google News mà tôi vừa đề cập do một nhà nghiên cứu khởi xướng .
"It &apos;s not just one or two things that go wrong , it &apos;s most things .","Không phải chỉ một hay hai thứ đi sai hướng , mà là hầu hết mọi thứ ."
"And what seems to be going on is that , in the brain , those neural connections that are important , those synaptic connections that are important , are linked and strengthened , while those that are less important tend to fade away and be less important .","Và có vẻ là , trong não , các kết nối thần kinh quan trọng , những kết nối tiếp hợp quan trọng , được liên kết và tăng cường , trong khi những kết nối ít quan trọng hơn thì có xu hướng mờ dần đi và ít quan trọng dần ."
We can also use cymatics as a looking glass into nature .,Chúng ta cũng có thể sử dụng sóng âm học như một ống nhòm vào tự nhiên .
"It is the green lines now , that are the source of the free content , which brings me to my last story .","bây giờ là những vạch xanh , của những nguồn có nội dung miễn phí và mang đến câu chuyện cuối cùng"
And we &apos;re just pulling the wall off the gallery .,Chúng tôi đang kéo đổ tường phòng trưng bày .
And so we can look at a bunch of different variables .,Và chúng ta có thể xem xét một chuỗi biến số khác nhau
there were 550 men in that living unit .,Có 550 người trong toàn hệ thống .
We really changed how people see the Middle East .,Chúng tôi thực sự đã làm thay đổi cách mọi người nhìn về Trung Đông .
"So we exchanged business cards , and we kept calling each other and decided to start this organization , Friends of the High Line .","Rồi chúng tôi trao đổi danh thiếp , và thường xuyên gọi cho nhau rồi quyết định thành lập tổ chức này , tổ chức có tên Những người bạn của High Line ."
Are they saving enough ?,Liệu họ có tiết kiệm đủ không ?
"What &apos;s behind that is a postulation , namely that not humans should get much more technical in the future ; rather than that , technology , a bit more human .","Điều gì đằng sau nó là một sự yêu cầu , cụ thể là con người sẽ có nhiều kỹ thuật hơn nữa trong tương lai . Đúng hơn là , công nghệ , có tính con người nhiều hơn ."
This has to stop .,Cần phải chấm dứt điều này .
Everybody wanted to be part of this .,"Mọi người đều muốn đóng góp ,"
It had everything I needed . It was quiet .,Nó có mọi thứ tôi cần . Nó yên tĩnh
"But she &apos;d given the boys girls &apos; names , and the girls boys &apos; names .",Nhưng bà lại đặt tên nam giới con các con gái và tên nữ giới cho các con trai .
"Most of the information that we collected on the cholera outbreak didn &apos;t come from testing water ; it came from forms like this , which documented all the people we failed to help .","Hầu hết những thông tin mà chúng tôi thu thập được từ sự bùng phát dịch tả , không phải từ việc kiểm tra nguồn nước ; mà đến từ những hình thức như thế này đây , những tài liệu từ tất cả những người mà chúng tôi đã không thể giúp ."
What sticks with people ?,Điều gì còn lại với mọi người ?
Dealing with other people demands a kind of flexibility that no set of rules can encompass .,Giao tiếp với người khác đòi hỏi một kiểu linh hoạt mà không một hệ thống luật lệ nào có thể bao quát .
And this is wool over here .,có một sợi len ở đây .
"I &apos;m thinking of Wael Ghonim , though .","Dù vậy , tôi đang nghĩ đến Wael Ghonim ."
And we &apos;ve crossed our first threshold .,Và chúng ta đã vượt qua ngưỡng cửa đầu tiên
Jenny realizes that the only solution is to pull out the bad teeth .,Jenny nhận ra rằng giải pháp duy nhất là nhỏ đi cái răng sâu .
"When I first heard this , I was quite proud of myself .","Khi tôi mới nghe điều này , tôi khá là tự hào về bản thân ."
Radio could carry sound without wires .,Làm sao để sóng vô tuyến có thể truyền tải âm thanh mà không cần dây kim loại .
I don &apos;t have the site . It &apos;s just the piece itself .,Tôi không có hình trang web đó ở đây . Chỉ có tấm hình này thôi .
"And three years ago , one of the things I learned how to do was to become invisible .","Ba năm trước , một trong những việc mà tôi đã học cách làm là trở nên vô hình ."
So the blue dots are selected randomly .,Các chấm xanh là các trường hợp được chọn ngẫu nhiên .
"You can &apos;t possibly read that . It &apos;s not intended that you read it , but that &apos;s a tiny part of the chemical reactions going on in each of your cells at any given moment .","Có thể bạn không đọc được điều đó . Tôi không có ý là các bạn đã đọc nó , nhưng đó là một phần bé nhỏ của các phản ứng hoá học đang xảy ra trong mỗi tế bào tại bất kỳ thời điểm nào"
And it upset me on a profound level that I wasn &apos;t bothered as much the night before .,Và nó khiến tôi lo ngại sâu sắc khi tôi không hề suy nghĩ nhiều thế vào đêm trước .
"Elizabeth Gilbert was once an &quot; unpublished diner waitress , &quot; devastated by rejection letters . And yet , in the wake of the success of &apos; Eat , Pray , Love , &apos; she found herself identifying strongly with her former self . With beautiful insight , Gilbert reflects on why success can be as disorienting as failure and offers a simple -- though hard -- way to carry on , regardless of outcomes .","Elizabeth Gilbert từng là một nữ bồi bàn vô danh , thất vọng với những lá thư từ chối . Toả sáng từ thành công của tác phẩm &quot; Ăn , Cầu nguyện , Yêu &quot; , cô nhận ra rằng tình trạng của cô cũng không khác xưa là mấy . Với cái nhìn tích cực , Gilbert phản ánh tại sao thành công , cũng như thất bị , có thể gâymất phương hướng , và đưa ra một cách thức đơn giản - dù khó khăn - để theo đuổi , bất chấp kết quả là gì ."
That &apos;s the core of the project .,Đó là cốt lõi của dự án .
Did you feel a sense of moral ambiguity ?,Bạn có cảm thấy một sự mơ hồ về đạo đức ?
This is after 15 / 20 days .,"Đây là sau 15 , 20 ngày ."
This is like -- it feels like the United Nations just here .,Tôi cảm giác như cả Liên hợp quốc đang ở đây .
"And also , the bitterness and even resentment towards the rich and the powerful is quite widespread .",Và sự cay đắng và thậm chí thù ghét với người giàu và người có quyền khá sâu rộng .
I &apos;ve had some time to think it over .,Tôi đã dành thời gian suy nghĩ nhiều về nó .
"Our intuition is really fooling us in a repeatable , predictable , consistent way .","Trực giác lừa chúng ta lặp đi lặp lại , và có thể lường trước được tuy nhiên rất nhất quán ."
They seem to have the expertise to keep cars working .,Dường như là họ có những chuyên gia về xe cộ .
"Of course , the other half won &apos;t , right ?",Tất nhiên là một nửa trong số đó không ly dị
This is a tool for anyone to come and use .,Đây là một công cụ cho mọi người đến và sử dụng .
"In rural Uganda , Paul Bolton and his colleagues , using villagers , demonstrated that they could deliver interpersonal psychotherapy for depression and , using a randomized control design , showed that 90 percent of the people receiving this intervention recovered as compared to roughly 40 percent in the comparison villages .","Ở vùng nông thôn tại Uganda , Paul Bolton và đồng nghiệp của ông , đã chứng minh rằng họ có thể cung cấp trị liệu tâm lý cá nhân cho bệnh trầm cảm bằng cách sử dụng dân làng và , bằng cách sử dụng một thiết kế kiểm soát ngẫu nhiên , cho thấy rằng 90 phần trăm của người được can thiệp phục hồi so với với khoảng 40 phần trăm trong các làng được so sánh ."
Today we have 20 million refugees in the world .,Ngày nay chúng ta có 20 triệu trại tị nạn trên thế giới .
"And so I go in there until the early hours of the morning , and I work on new songs .",và tôi sẽ vào đó tới sáng sớm. và sáng tác nhạc mới .
"And the CAT scan revealed no blood clots in the lung , but it showed bilateral , visible , palpable breast masses , breast tumors , that had metastasized widely all over the body .","Và ảnh chụp cắt lớp cho thấy không hề có máu tụ trong phổi , nhưng nó lại cho thấy hai khối bướu trong ngực , có thể nhìn thấy và sờ thấy được - khối u vú đã di căn ra khắp toàn bộ cơ thể ."
Things often go wrong .,Sự việc thường trở nên hỗn loạn sau đó .
"The buyer was Kip Forbes , son of one of the most flamboyant millionaires of the 20th century .","Ông Forbes . Người mua là Kip Forbes , con trai của một trong những triệu phú tiếng tăm nhất của thế kỉ 20 ."
It &apos;s very clear that this is what happens .,Rõ ràng đây là điều đang xảy ra .
"Sort of like a digital Jiminy -- as in the well-known fairy tale -- a kind of friendly , supportive presence that &apos;s always there to be able to help you make the right decision in the right way at the right time to help you form healthy habits .","Đại loại như Jiminy kỹ thuật số -- trong câu chuyện cổ tích nổi tiếng -- một kiểu hiện diện hỗ trợ thân thiện luôn luôn sẵn sàng để có thể giúp bạn đưa ra quyết định đúng đắn đúng cách , đúng lúc , giúp bạn hình thành thói quen lành mạnh ."
Am I looking at a cat or a fox ?,Tôi đang nhìn thấy một con mèo hay một con cáo ?
"And he said , &quot; I &apos;m doing it for Movember . &quot; And I said , &quot; So am I. &quot; And I said , &quot; Tell me your Movember story . &quot;","Và ông trả lời , &quot; Tôi để nó vì Movember . &quot; Và tôi nói , &quot; Tôi cũng vậy . &quot; Và tiếp , &quot; Kể tôi nghe câu chuyện Movember của ông đi . &quot;"
"But more seriously , I was like , okay , these ones work , but it &apos;s not just about me , it &apos;s about people from Israel who want to say something .","Nhưng quan trọng hơn , tấm áp phích này có hiệu quả nhưng không phải về tôi , mà về những người đến từ Israel người muốn nói điều gì đó ."
"In this short , optimistic talk from TED2009 , Pete Alcorn shares a vision of the world of two centuries from now -- when declining populations and growing opportunity prove Malthus was wrong .","Trong bài nói chuyện ngắn gọn và đầy hài hước tại TED2009 , Pete Allcorn chia sẻ một viễn cảnh của thế giới trong 2 thế kỷ tới -- khi dân số sụt giảm và cơ hội phản biện giả thuyết Malthus tăng lên ."
You can probably make this yourself for about five dollars with a quick trip to the Radio Shack .,Bạn có thể tự tạo ra nó với giá 5 đô và chỉ phải ra Radio Shack .
"Now , this isn &apos;t new . Anyone who &apos;s used Google Earth has seen this before , but one thing we like to say in our group is , we do the opposite of Google Earth .","Và giờ , điều này không mới . Bất kì ai đã từng sử dụng Google Earth đã nhìn thấy điều này trước đây nhưng có một điều chúng tôi muốn nói đó là Chúng tôi làm điều ngược lại so với Google Earth"
"But recently I did spend three months in bed , wanting to die .","Tuy nhiên gần đây tôi đã trải qua 3 tháng nằm trên giường , muốn chết ."
I thank you .,Tôi cảm ơn .
And I &apos;ve been framing this idea called Pentecostal pedagogy .,Tôi đã hình thành ý tưởng gọi là sư phạm Ngũ tuần .
"This time , the real politics of the contemporary world -- the year of the Balfour Declaration , the year when the new imperial power in the Middle East , Britain , decides that it will declare a Jewish national home , it will allow the Jews to return .","Lần này , chính trị thật sự của thế giới đương đại -- năm của Tuyên ngôn Balfour , năm mà nước Anh , thế lực đế quốc mới ở Trung Đông , quyết định công bố một ngôi nhà Do thái , đó là nơi người Do Thái trở về ."
"And finally , to real life-changing applications , such as being able to control an electric wheelchair .","Và cuối cùng , với các ứng dụng thay đổi cuộc sống thực như là khả năng điều khiển một xe lăn điện ."
And I think that there is an easy cure for NDD .,tôi nghĩ có 1 cách dễ dàng đối phó với NDD
"Maybe finally , we will earn our title : a department of corrections .","Để cuối cùng , chúng tôi có thể xứng đáng với danh hiệu : Sở Chỉnh Sửa ."
"Within the tower , people have come up with all sorts of solutions in response to the various needs which arise from living in an unfinished tower .","Trong toà tháp này , mọi người đã nghĩ đến đủ các phương pháp để đáp ứng lại nhiều nhu cầu của cuộc sống trong một toà tháp dở dang ."
And the cod are there because they are feeding on all the copepods and amphipods .,Mà cá tuyết có ở đó là bởi vì chúng ăn những loài chân kiếm và giáp xác .
"You &apos;ve heard about slow food . Now here &apos;s slow ... TV ? In this very funny talk , Norwegian television producer Thomas Hellum shares how he and his team began to broadcast long , boring events , often live -- and found a rapt audience . Shows include a 7-hour train journey , an 18-hour fishing expedition and a 5.5-day ferry voyage along the coast of Norway . The results are both beautiful and fascinating . Really .","TED Talk Subtitles and Transcript : Có thể bạn đã nghe về thức ăn chậm . Và bây giờ còn có cả ... truyền hình chậm ? Trong bài nói chuyện hài hước này , nhà sản xuất chương trình truyền hình người Na Uy , Thomas Hellum chia sẻ cách mà ông và đội ngũ bắt đầu thực hiện chương trình truyền hình trực tiếp về những sự kiện dài và nhàm chán - và đón nhận sự ủng hộ nhiệt tình từ khán giả . Chương trình bao gồm một chuyến hành trình tàu lửa dài 7 tiếng , một chuyến đi câu dài 18 tiếng và một chuyến du lịch dài 5,5 ngày dọc bờ biển Nauy . Và kết quả của nó thì thật sự tuyệt diệu và lôi cuốn ."
And the instructor was up there in the class explaining to them all the ways in which they had lost their identity in this new age .,Những người trợ giáo lên lớp giải thích cho họ tất cả những cách mà họ đã mất đi bản ngã của mình trong thời đại mới này .
"Ellen &apos; t Hoen : Pool medical patents , save lives","Ellen &apos; t Hoen : Quỹ bằng sáng chế thuốc , cứu nhiều mạng sống"
,
Thank you .,Xin cám ơn .
"We &apos;ve encountered joggers , busy highways , toll booths , and this is without a person in the loop ; the car just drives itself .","Chúng tôi chạm trán người chạy bộ thể dục , đường cao tốc đông nghẹt , trạm thu phí cầu đường , và chẳng có lấy một người sau vô lăng ; cái xe cứ tự động lái vậy thôi ."
"It &apos;s just that their beauty is missed because they &apos;re so omnipresent , so , I don &apos;t know , commonplace , that people don &apos;t notice them .","Chỉ là người ta thường quên mất vẻ đẹp của mây vì chúng nhan nhản quá , xem nào , tầm thường quá , nên người ta không thèm để ý ."
"It means something triggering a big emotional response , often quite a sad emotional response , but it &apos;s part of what we do .","Nó kích thích một sự phản ứng cảm xúc mạnh mẽ , thường là buồn , nhưng nó là một phần của cuộc sống ."
"It has a rounded body , two arms , and a very tall , head-like antenna , and its sole purpose is to attract attention towards itself .","Nó có thân hình đầy đặn , hai cánh tay , và ăng-ten rất cao , như một cái đầu , và mục đích duy nhất của nó là thu hút sự chú ý ."
"He was married to a woman named Carol , and they had a wonderful relationship .","Anh ấy kết hôn với 1 người phụ nữ tên là Carol , và họ đã có 1 quan hệ tuyệt vời ."
And what you need to do is listen to your body .,Và những gì bạn cần làm là lắng nghe cơ thể của bạn .
She goes home .,Cô ấy trở về nhà .
"Her story has a positive ending , but there are thousands of others in similar situations who are much less fortunate .","Câu chuyện của chị kết thúc có hậu , nhưng có hàng ngàn người khác trong tình cảnh tương tự kém may mắn hơn nhiều ."
"She launched an ambitious plan to start a green revolution in her country , and before we knew it , we were importing tons of fertilizer and seed and telling farmers how to apply that fertilizer and plant .","Bà ấy đã thực hiện một kế hoạch táo bạo mở đầu một cuộc cách mạng xanh trong nước , và trước khi được biết , chúng tôi đã nhập khẩu hàng tấn phân hoá học và hạt giống và hướng dẫn nông dân cách bón phân bón hoá học và trồng cây ."
And we kept telling the people in London that Linus Pauling &apos;s going to move on to DNA .,Chúng tôi vẫn nói với các nhà khoa học Luân Đôn rằng Linus Pauling sắp chuyển sang nghiên cứu ADN .
"Diving under the Antarctic ice to get close to the much-feared leopard seal , photographer Paul Nicklen found an extraordinary new friend . Share his hilarious , passionate stories of the polar wonderlands , illustrated by glorious images of the animals who live on and under the ice .","Lặn dưới băng Nam Cực để tiếp cận loài sư tử biển nhiều lông , nhiếp ảnh gia Paul Nicklen đã có một người bạn mới lạ thường . Hãy cùng chia sẻ câu chuyện vui nhộn , thiết tha về vùng cực thần kì , được lột tả qua những hình ảnh hết sức thú vị về các loài động vật sống bên trên và dưới lớp băng ."
"Thank you , Katy , for taking that photo for me .","Cảm ơn Katy , vì bức ảnh ."
"But other students felt it was tragic , catastrophic .",Nhưng những học sinh khác cảm thấy đó là một thảm hoạ .
"Because we give them so much information , and they are entitled to really see how it is that we &apos;re moving .",bởi vì chúng tôi đưa họ nhiều thông tin và chúng ta được giao quyền để thật sự nhìn thấy làm sao nó là cái mà chúng ta đang di chuyển
"Last year , though , we did manage to scrape up some money .","Tuy nhiên , năm ngoái , chúng tôi đã gom được một số tiền"
Get smarter incentives .,Hãy có những động lực thông minh hơn .
"And this was really curious to me , and I wondered , &quot; Why are monkeys so popular ? &quot;","Và điều này gây cho tôi tò mò , tôi tự hỏi , &quot; Tại sao khỉ lại thông dụng nhất ? &quot;"
So far so good .,Đến lúc này thì vẫn tốt .
Some chose the pen .,Có người chọn cây bút
So this is a study we did with Vicky Horner .,Đây là nghiên cứu chúng tôi đã làm với Vicky Horner .
And it has to be free .,và phải tự do .
"If you love a word , it becomes real .","Nếu bạn yêu một từ , nó sẽ trở thành hiện thực ."
